Data da venda,Nome Produto,Categoria do produto,Valor unitário,Quantidade vendida,Nome do cliente,Faixa etária do cliente,Gênero do cliente,Localização da compra
2024-01-06 15:47:00.946927,Café Arábica,Cafés Especiais,12.9,3,Hannah Montoya,26-35,Masculino,São Paulo
2024-03-10 16:43:20.901961,Café Orgânico,Cafés Especiais,14.5,4,Elizabeth Cross,46-55,Masculino,Online
2024-11-25 18:54:43.308596,Café Arábica,Cafés Especiais,12.9,1,Karen Graham,18-25,Outro,Brasília
2024-12-21 18:24:50.910060,Chá de Camomila,Chás Artesanais,8.9,3,Michael Fitzgerald,36-45,Feminino,São Paulo
2024-03-19 03:20:48.232852,Quiche de Alho-poró,Salgados,11.0,3,Michael Johnson,46-55,Masculino,São Paulo
2024-09-15 07:10:10.716531,Empada de Palmito,Salgados,9.8,4,Michael Johnson,18-25,Feminino,Brasília
2024-08-03 17:54:16.375280,Café Robusta,Cafés Especiais,10.9,1,Adam Vaughan,26-35,Feminino,Paraná
2024-12-15 01:17:40.324075,Café Orgânico,Cafés Especiais,14.5,1,Lydia Pham,26-35,Feminino,Brasília
2024-05-09 17:53:13.756635,Bolo de Cenoura,Doces,9.9,3,Shannon Taylor,46-55,Feminino,São Paulo
2024-03-19 17:04:29.445801,Café Arábica,Cafés Especiais,12.9,2,Tina Walter,18-25,Feminino,Brasília
2024-02-11 08:57:31.678168,Chá Verde,Chás Artesanais,8.5,3,Allen Mendez,26-35,Outro,Paraná
2024-02-15 12:05:19.947620,Chá de Hibisco,Chás Artesanais,9.2,3,Nancy Stewart,18-25,Feminino,Brasília
2024-02-19 22:02:54.397118,Chá de Camomila,Chás Artesanais,8.9,3,Mario White,18-25,Feminino,Online
2024-09-14 13:26:56.005193,Bolo de Cenoura,Doces,9.9,3,Nicholas Stanley,36-45,Outro,Paraná
2024-01-15 07:57:06.016790,Café Arábica,Cafés Especiais,12.9,4,David Jones,18-25,Feminino,Online
2024-02-12 02:39:31.016366,Brownie,Doces,7.5,1,Travis Tucker,56+,Outro,Paraná
2024-08-07 05:09:02.431744,Chá de Camomila,Chás Artesanais,8.9,4,Kristine Garcia,26-35,Outro,Online
2024-12-22 07:57:33.079332,Chá de Hibisco,Chás Artesanais,9.2,4,Elaine Brooks,18-25,Outro,Paraná
2024-07-21 22:40:40.251026,Quiche de Alho-poró,Salgados,11.0,4,Beth Cline,26-35,Masculino,Online
2024-11-08 05:38:01.409995,Café Arábica,Cafés Especiais,12.9,3,Mark Clark,18-25,Outro,São Paulo
2024-01-26 00:32:59.534168,Quiche de Alho-poró,Salgados,11.0,2,Elizabeth Kelley,26-35,Outro,Online
